Model,Precision,Recall,F1 Score,AUC
Logistic Regression (C=1.0),0.96327467482785,0.9572324653107774,0.9602440652111736,0.9951656808986179
Logistic Regression (C=0.01),0.9617004978935274,0.9545713742634481,0.9581226748068301,0.9945149256671009
